Title,Artist,Scoring,Instruments,Key,URL,Rating
Wonderful One,Paul Whiteman & His Orchestra,Piano/Vocal/Chords,"Piano, Voice: Eb4-Ab5",Ab Major,https://www.musicnotes.com/sheetmusic/mtd.asp?ppn=MN0270138,
O Holy Night,Adolphe Charles Adam,Easy Piano,"Piano, Voice: C4-E5",C Major,https://www.musicnotes.com/sheetmusic/mtd.asp?ppn=MN0060571,4.5
Carol of the Bells,Traditional,Easy Piano,Piano,E Minor,https://www.musicnotes.com/sheetmusic/mtd.asp?ppn=MN0060566,4.5
O Holy Night,Adolphe Charles Adam,Piano/Vocal/Chords,"Piano, Voice: C4-E5",C Major,https://www.musicnotes.com/sheetmusic/mtd.asp?ppn=MN0060573,4.5
Canon in D [excerpt],Johann Pachelbel,Piano Solo,Piano,D Major,https://www.musicnotes.com/sheetmusic/mtd.asp?ppn=MN0237788,
Jingle Bells,James Pierpont,Piano/Vocal/Chords,"Piano, Voice: D4-E5",G Major,https://www.musicnotes.com/sheetmusic/mtd.asp?ppn=MN0059853,4
Für Elise [excerpt],Ludwig Van Beethoven,Piano Solo,Piano,A Minor,https://www.musicnotes.com/sheetmusic/mtd.asp?ppn=MN0237789,
"O, Holy Night",Adolphe Charles Adam,"Piano/Vocal/Chords, Singer Pro","Piano, Voice: C4-G5",C Major,https://www.musicnotes.com/sheetmusic/mtd.asp?ppn=MN0059942,4
The Entertainer,Scott Joplin,Piano Solo,Piano,C Major,https://www.musicnotes.com/sheetmusic/mtd.asp?ppn=MN0037683,4.5
Clair de lune [excerpt],Claude Debussy,Piano Solo,Piano,Db Major,https://www.musicnotes.com/sheetmusic/mtd.asp?ppn=MN0237791,
Amazing Grace [excerpt],Traditional,Piano/Vocal/Chords,"Piano, Voice: C4-C5",F Major,https://www.musicnotes.com/sheetmusic/mtd.asp?ppn=MN0237793,
O Come All Ye Faithful,Traditional,"Piano/Vocal/Chords, Singer Pro","Piano, Voice: D4-D5",G Major,https://www.musicnotes.com/sheetmusic/mtd.asp?ppn=MN0050890,5
Clair de lune,Claude Debussy,Piano Solo,Piano,Db Major,https://www.musicnotes.com/sheetmusic/mtd.asp?ppn=MN0065118,4.5
Moonlight Sonata - 1. Adagio sostenuto,Ludwig Van Beethoven,Piano Solo,Piano,C# Minor,https://www.musicnotes.com/sheetmusic/mtd.asp?ppn=MN0082214,5
Passacaglia,George Frederick Handel,Piano Solo,Piano,A Minor,https://www.musicnotes.com/sheetmusic/mtd.asp?ppn=MN0262858,
Silent Night,Franz Gruber,Piano/Vocal/Chords,"Piano, Voice",C Major,https://www.musicnotes.com/sheetmusic/mtd.asp?ppn=MN0051411,5
"Ave Maria - Opus 52, No. 6",Franz Schubert,"Piano/Vocal, Singer Pro","Piano, Voice: F4-F5",Bb Major,https://www.musicnotes.com/sheetmusic/mtd.asp?ppn=MN0074152,4.5
Away in a Manger,James R. Murray,Piano/Vocal/Chords,"Piano, Voice: C4-C5",F Major,https://www.musicnotes.com/sheetmusic/mtd.asp?ppn=MN0059798,4
"O Come, O Come, Emmanuel",15th Century French Melody,Piano/Vocal/Chords,"Piano, Voice: D4-D5",E Minor,https://www.musicnotes.com/sheetmusic/mtd.asp?ppn=MN0060871,5
In the Bleak Midwinter,Gustav Holst,"Piano/Vocal/Chords, Singer Pro","Piano, Voice: D4-D5",F Major,https://www.musicnotes.com/sheetmusic/mtd.asp?ppn=MN0050880,4.5
We Wish You a Merry Christmas,Traditional,Piano/Vocal/Chords,"Piano, Voice: D4-D5",G Major,https://www.musicnotes.com/sheetmusic/mtd.asp?ppn=MN0059862,
The Birthday of a King,William Howard Neidlinger,"Piano/Vocal/Chords, Singer Pro","Piano, Voice: A3-E5",G Major,https://www.musicnotes.com/sheetmusic/mtd.asp?ppn=MN0050868,4.5
The First Noel,Traditional English Carol,"Piano/Vocal/Chords, Singer Pro","Piano, Voice: D4-D5",D Major,https://www.musicnotes.com/sheetmusic/mtd.asp?ppn=MN0050869,
Gesu Bambino,Pietro A. Yon,Piano/Vocal/Chords,"Piano, Voice: A3-D5",D Major,https://www.musicnotes.com/sheetmusic/mtd.asp?ppn=MN0059860,5
Angels We Have Heard on High,Traditional French Carol,Piano/Vocal/Chords,"Piano, Voice: D4-E5",G Major,https://www.musicnotes.com/sheetmusic/mtd.asp?ppn=MN0059800,4.5
Hark! The Herald Angels Sing,Felix Mendelssohn,Piano/Vocal/Chords,"Piano, Voice, 4-Part Choir",G Major,https://www.musicnotes.com/sheetmusic/mtd.asp?ppn=MN0098289,
Dance of the Sugar Plum Fairy [excerpt],The Nutcracker,Piano Solo,Piano,E Minor,https://www.musicnotes.com/sheetmusic/mtd.asp?ppn=MN0237798,
"God Rest Ye Merry, Gentlemen",Traditional English Carol,Piano/Vocal/Chords,"Piano, Voice: D4-E5",E Minor,https://www.musicnotes.com/sheetmusic/mtd.asp?ppn=MN0059856,3.5
O Holy Night,Adolphe Charles Adam,Piano Solo,Piano,C Major,https://www.musicnotes.com/sheetmusic/mtd.asp?ppn=MN0060572,5
